from,to,date,origin
40980,28226,16090203,-
48727,34115,16721025,London
24984,42355,16250813,-
7072,9668,16890510,Whitehall
15020,2184,16380311,-
44482,43400,16180321,"St.Christopher0027s, one of the Atilles"
10612,34115,16510506,Whitehall
47669,34012,16720719,Whitehall
44542,44285,16411028,-
6979,28170,16710622,Windsor
10643,12920,16770104,-
44232,41533,16381220,Ware
44285,6978,16411024,-
16155,25899,16760508,Lisbon
6979,44241,16731024,-
26595,23374,16540907,-
16032,17653,17090819,-
19152,15894,16601231,-
8507,9207,16490220,Westminster
24744,44566,16090531,-
36390,7746,16331209,-
18757,451,16600507,-
34064,42999,16730202,Dorchester
52318,582,16370715,-
43246,41364,16220824,-
55389,38454,16050714,-
6931,22869,16300208,Dublin
23120,9673,16260726,-
13045,2184,16311208,-
37756,42999,16650615,Harwich
41121,39896,16680210,London
12142,2184,16401231,-
835,18912,16630114,Rouen
52608,40180,16210324,-
16052,33797,16631104,-
6298,14454,16600503,-
10938,44285,16421019,-
44342,10580,16280528,Dorchester
24218,34115,16620505,-
44838,30664,16410302,Covent Garden
44542,51804,16321226,-
39016,44832,16850824,Windsor
22692,39349,17110925,-
48138,44182,16131203,-
43631,7068,16621208,Berwick
44594,13045,16231129,-
45118,16410,16940120,The Hague
4338,451,16560809,-
51745,34115,16690310,Woolwich
11172,2981,16930725,Whitehall
2410,42999,16720314,Deal
23351,40994,17041002,Swindon
3008,15163,17131207,-
21177,51199,16780630,Whitehall
19394,33662,16910221,Whitehall
44898,34115,16700620,-
14591,11172,17040406,Dublin
26528,7746,16370619,-
9683,17681,16260310,-
23569,34115,16660728,Bristol
19394,32262,16910319,Whitehall
50958,10612,16601231,-
44195,34115,16720103,Victualling Office
20129,42999,16690103,Post Office
16155,18912,16730425,Lisbon
6979,28068,16761231,-
14612,15471,16670513,Westminster
32078,43005,16130831,-
10997,44285,16280121,-
15389,7746,16310825,-
25084,44566,16070129,Carlisle
47570,20912,16660911,Kinsale
10238,451,16570604,-
22662,13045,16131014,London
51491,8814,16680227,Portsmouth
41452,43746,16190521,-
41059,38454,16100618,-
21177,28188,16980418,Whitehall
40994,41747,17040510,Whitehall
8814,39896,16641207,Portsmouth
54060,15202,16510227,-
9737,29712,16450513,Derby House
46355,46438,16291231,Constantinople
3990,37068,16521221,-
3989,34115,16690621,Deptford
6021,451,16530828,-
24154,42999,16731226,Whitehall
26108,21274,16350119,-
15172,42576,16401023,Ripon
3962,34115,16561208,-
4176,20552,16521127,-
24984,42067,16410412,-
35671,42999,16750219,Plymouth
23090,18912,16710513,-
13846,40871,16600108,Duncannon fort
20945,44566,16100723,-
40994,36152,17030706,Whitehall
22078,38934,16260417,Wenham Magna
2438,20905,16300208,Strasburg
39016,28175,16850730,Whitehall
19394,28175,16910421,Whitehall
24807,32057,16631101,-
34987,41287,16610225,-
38571,18633,16791111,Amsterdam
1148,5637,16541130,St. Ives
42773,13045,16220604,-
10612,6031,16490807,Whitehall
40994,36152,17040126,Whitehall
2184,42067,16401231,-
10612,27720,16490322,Derby House
19202,42999,16631212,Somerset House
42144,13045,16230724,-
18972,43025,16830528,Welbeck
851,38454,16080515,Edinburgh
43920,20945,16140816,-
9211,34115,16530101,-
9737,8932,16451124,Derby House
43979,42999,16700121,Resolution
38197,41589,16620519,-
41930,13045,16290301,Tichfield
6298,34115,16670816,Dover
41999,42484,16380309,-
4289,34115,16730104,"The <i>Monmouth,</i> in the Downs"
41915,41287,16270517,Dublin Castle
46438,8908,16640119,Whitehall
42966,43025,16830301,M.S. Happy Return Lisbon
7068,42999,16720226,Knowsley
11172,41347,17030723,Whitehall
10612,27544,16510830,Whitehall
55389,38454,16070727,-
23740,42999,16670124,Swansea
7072,51125,16951118,Whitehall
46438,19559,16280801,Southwick
19522,7746,16350105,-
19858,42999,16690829,Portsmouth
30843,10580,16220727,-
46591,18912,16700927,Dublin
42728,42999,16690126,-
19369,18912,16690101,-
44542,7746,16350522,-
15890,34115,16660324,Bristol
451,34115,16531026,-
21306,42039,16301231,-
52635,44285,16250120,Westminster
16163,451,16320517,-
20484,38385,16560825,-
25920,50170,16050930,Valladolid
5955,41533,16370818,The Downs
43775,14454,16671204,Lisbon
19858,42999,16700501,Portsmouth
2652,44285,16390414,-
5602,451,16580918,-
38098,42999,16671005,Deal
34115,451,16530315,-
42067,13045,16311222,-
40564,42787,16410830,Edinburgh
20905,30654,16300731,-
