id,person_name
47443,Thomas Bellamy
7504,Christopher Pett
40049,Scarnafis
6925,Charles Fanshaw
19287,Henry Muddiman
16948,Gentlemen of Hertfordshire
42794,Sir John Peyton
37801,"Richard Neile, Archbishop of York"
40871,Sir Arthur Hazelrigg
38800,Robert Master
43820,Sir Roger Aston
5889,Captain Philip Gethings
3395,Capt. Charles Thorowgood
19415,"Henry St John, Viscount Bolingbroke"
24656,John Webb
35599,"Philip Barrow, storekeeper at Chatham"
35915,Portuguese Ambassador
14176,"Edward Cecil, Viscount Wimbledon"
47433,Thomas Baynham
4806,Captain Abraham Ansley
7628,Clement Armiger
41783,Sir Gerard Herbert
10506,Cornelius Parmot
41290,Sir Edward Northey
23845,John Moore
18345,Greg. di Monti
1051,Amerigo Salvetti
19371,Henry Saderson
22745,John Constable
6411,Captain William Bushell
36139,Prince of Orange
5057,Captain Decker
13307,E. Kendrick
30064,Marquis de Mirabel
13128,Duke of Lorraine
18025,Gonzalez de Cordova
5324,Captain Henry Appleton
48362,Thomas Marriott
39710,Sam. Raven
51313,William Chambers
35858,Plantamour
36663,Ralph Sal
47846,Thomas Eastwood
3509,Capt. Edw. Moorcock
44120,Sir Thomas Frankland
51134,William Bodham
10683,Count Gondoma
131,A conventicler
24065,John Pory
49882,"Ulick Burke (de Burgh), Marquess of Clanricarde"
1137,Andrew Crawley
50697,Walter Lord Aston
22729,John Coledick
12516,Dr. J. Johnson
30941,Mayor and Customer of Weymouth
28307,Louvain
10854,Countess of Olivares
41768,Sir George Trenchard
20839,"James Elphinstone, Lord Balmerinoch"
14331,Edward Harrison
15883,Francis Bassett
3545,Capt. Francis Allen
17326,George Franklin
32973,Mr. Justice Robert Milward
38017,Richard Stokes
9154,Commissioner for Sick and Wounded
5441,Captain James Duppa
16090,Francis Lucas
31544,"Michael Boyle, Archbishop of Dublin"
48136,"Thomas Howard, Earl of Arundel and Surrey"
42940,Sir John Wentworth
36573,Raleigh Hull
41657,Sir George Carteret
39175,Robert Yard
32055,Morgan Lodge
18648,"Hans Willem Bentinck, Earl of Portland"
48330,"Thomas Lowe, clerk"
28279,Louis Magett
6218,Captain Thomas Elliott
41866,Sir Hatton Farmor
1133,Andrew Carnwath
30723,Matthew Meade
7746,Coke
3875,"Capt. Jno. Taylor, Phineas Pett, Robt. Cruse"
7002,"Charles Lennox, Duke of Richmond and Lennox"
2566,Benjamin Sacheverell
55754,NA
18931,Henry Bowcher
14515,Edward Popham
24009,John Pery
16332,Frankfort
3236,Capt John Stoakes
23803,John Methuen
51153,"William Boswell, Clerk of the Council Extraordinary"
20506,J. Rootes
11188,Daniel Harby
27049,Lieutenant-General William Steuart
44193,Sir Thomas Leigh
41813,Sir Griffin Markham
4665,Capt. William Turner
42643,Sir John Heydon
18557,H. Van Tuyll
37325,Richard Browne
20721,James Blackborne
1513,Anthony Isaacson
12040,Dodemere Pope
23006,John Farewell
48325,Thomas Lorkin
5215,Captain George Bagg
38821,Robert Millington
16568,G. Duke
4142,Capt. Peter Bowen
7136,"Charles, Elector Palatine"
30111,Marquis of Inoiosa
48271,Thomas Leffever
14577,Edward Sherburne
18445,"Gustavus Adolphus, King of Sweden"
46009,The Council
33661,Mr. William Gore
24501,John Thorpe
48759,"Thomas Sprat, Bishop of Rochester"
45639,"The Admirals, Vice-Admirals"
27034,Lieutenant-General Fleetwood
9502,Commissioners for the Treasury
42484,Sir John Coke
17691,George Warner
42917,Sir John Trenchard
27955,Lord Treasurer
42249,Sir James Dalrymple of Stair
12474,Dr. Henry Compton
40180,Secretary of State
46947,The Queen
43718,Sir Robert Killigrew
29372,Major Douett [Duitt]
7066,"Charles Spencer, Earl of Sunderland"
11501,Dean and Chapter of Canterbury
6469,Captain William Stokes
43207,Sir Patience Ward
26324,Lake
43291,Sir Philip Honywood
9295,Commissioners for Prize Goods
44881,Sir Winston Churchill
14239,Edward Doughty
45304,Sultan Mahamet Han Mehmet IV
5857,Captain Paul
40481,Sheriffs
11737,Deputy Lieutenants for Worcestershire
34651,Officers of Navy
47989,"Thomas Gooch, Bayliff"
48670,"Thomas Sackville, Baron Buckhurst, Earl of Dorset"
45059,St. John
5138,Captain Elton
28027,Lord [?]
15223,Erasmus Lewis
9207,Commissioners for Customs
41266,Sir Edward Hussey
38866,Robert Overton
38644,"Robert Harley, Earl of Oxford and Mortimer"
32090,"Mountjoy Blount, Earl of Newport"
32114,Mr Duke
33337,Mr. Renalls
908,All Christian people
46535,The Lord Deputy
51979,"William Legge, Earl of Dartmouth"
27747,Lord Mayor of London
20888,James Hamilton
14398,Edward Latham
16101,"Francis Manners, Earl of Rutland"
40384,Sheriff of Berks
24610,John Waldron
28994,M. de Launay
47733,"Thomas Coventry, Baron Coventry"
33830,Mrs. Melior Dore
11799,Deputy Lieutenants of Northamptonshire
48048,Thomas Hare
32507,Mr. Controller
19383,Henry Scobell
30424,Master and Fellows of Sidney Sussex College
8663,Colonel Richard Grace
13845,Edmund Lord Sheffield
18936,"Henry Boyle, Baron Carleton"
39006,Robert Smith
22912,John Drummond
15973,Francis Downes
38385,"Robert Blackborne, secretary to the Adm. Com."
17653,George Tilson
44620,Sir William Dungan
44768,Sir William Russell
27720,Lord Mayor
25353,Justices
55880,NA
9730,Commissoners for the Exchange of Prisoners
49878,Uladislaus
21153,"James Stuart, Duke of Lennox and Richmond"
26827,Lieutenancy of Warwickshire
40567,"Sidney Godolphin, Earl of Godolphin"
36091,Prince George Frederick of Waldeck
15148,Endymion Porter
1895,Attorney-General
47890,"Thomas Fairfax, Lord Fairfax"
42529,Sir John Delaval
27599,Lord High Admiral&#x0027;s Council
31872,Mons. Hoffman
28175,Lords Justices of Ireland
54731,NA
36223,Privy Council of Scotland
30070,Marquis de Rochegude
42533,Sir John Denham
48831,"Thomas Tenison, Archbishop of Canterbury"
24825,John l'Oiseau Tourval
34586,Officer in chief commanding
44277,"Sir Thomas Richardson, Lord Chief Justice of the Common Pleas"
20051,Infanta Isabella
19743,House of Commons
46801,The Mayor of Galway
38108,"Richard Weston, Earl of Portland"
38039,Richard Thorowgood
29592,Major Robt. Cobbett
41277,Sir Edward Massey (Massie)
31632,Michele Roscio
50128,Vice-President
23315,John Hawkins
27773,Lord Montague
33783,Mrs. Garrett Fynglas
19629,High Sheriff
14197,"Edward Conway, Earl of Conway"
49801,Treves Cologne
9420,Commissioners for taking the Accounts of the kingdom
1056,Amico Et Aliquid Amplius
19128,Henry Guy
31002,Mayor and another of Harwich
36070,Primate of Poland
